Date,GLD,IEF,SPY,VXUS
2016-01-05,0.0028185529910356166,-0.000283423814697481,0.0016914436236330488,-0.0018046968841772815
2016-01-06,0.014440762350867997,0.0060375106004511014,-0.012614249984831849,-0.016949519314167882
2016-01-07,0.014139709399294764,0.002156233430069543,-0.02399157828655929,-0.02068942869304502
2016-01-08,-0.004427708091822691,0.0025266743174663375,-0.010976932846033405,-0.011737019088139955
2016-01-11,-0.008894799760520211,-0.003173386349239138,0.0009902200212303924,0.002137934772686201
2016-01-12,-0.005060137388834152,0.004493533888302315,0.008068433582018919,0.0023699561570138528
2016-01-13,0.004893984653210337,0.003914366603591679,-0.02494064399443585,-0.013714870269471713
2016-01-14,-0.016233809757639994,-0.0020418548191484254,0.016416781279141368,0.013426162407543796
2016-01-15,0.010289314914859515,0.0046515376587035195,-0.021466186369080598,-0.03856179200375054
2016-01-19,-0.000960784707550344,-0.0012959104853861314,0.0013312612404070556,0.011811097983542851
2016-01-20,0.013367949074563512,0.004913864698464332,-0.012815337945265015,-0.024562040518501416
2016-01-21,0.001138797703897687,-0.002491075969518586,0.005601970814298474,0.008476696722750976
2016-01-22,-0.004644969889963546,-0.0022201992261410286,0.020515584293706146,0.029913448997125558
2016-01-25,0.010285731724330338,0.0033370782546744415,-0.015116720818037943,-0.01680281034938491
2016-01-26,0.011406476843766722,0.0007392761831248595,0.013643466872983456,0.019287280753299774
2016-01-27,0.0037282274439893737,0.0007388198291342629,-0.010883195774006982,-0.004790489323081015
2016-01-28,-0.010678814187088714,0.0012915764867056367,0.005208715152809518,0.006498390776553675
2016-01-29,0.0038482826092700595,0.005343838007743296,0.0243774890651256,0.01984671630445667
2016-02-01,0.01028523735300313,-0.002303401911107117,-0.0003615755275219179,-0.00422011925320509
2016-02-02,0.00037013683482878257,0.007084075612181939,-0.018022040345114565,-0.0228398352783149
2016-02-03,0.010731831819877025,-0.0010969277773988928,0.005994975474624464,0.012770795193643547
2016-02-04,0.012082377069329242,0.0023781917024061627,0.00156829337682729,0.004759010366546024
