Date,GLD,IEF,SPY,VXUS
2016-01-04,102.88999938964844,83.20561981201172,169.4715576171875,32.49483871459961
2016-01-05,103.18000030517578,83.18207550048828,169.75819396972656,32.43620681762695
2016-01-06,104.66999816894531,83.68425750732422,167.6168670654297,31.88642692565918
2016-01-07,106.1500015258789,83.86471557617188,163.595458984375,31.226716995239258
2016-01-08,105.68000030517578,84.07662963867188,161.79971313476562,30.860206604003906
2016-01-11,104.73999786376953,83.80980682373047,161.95989990234375,30.926172256469727
2016-01-12,104.20999908447266,84.18644714355469,163.2666473388672,30.999481201171875
2016-01-13,104.72000122070312,84.51600646972656,159.19471740722656,30.574316024780273
2016-01-14,103.0199966430664,84.3434066772461,161.80819702148438,30.984819412231445
2016-01-15,104.08000183105469,84.73575592041016,158.33473205566406,29.789993286132812
2016-01-19,103.9800033569336,84.62588500976562,158.54556274414062,30.14182472229004
2016-01-20,105.37000274658203,85.04168701171875,156.5137481689453,29.401487350463867
2016-01-21,105.48999786376953,84.82987976074219,157.39051818847656,29.650712966918945
2016-01-22,105.0,84.64155578613281,160.61947631835938,30.53767204284668
2016-01-25,106.08000183105469,84.92398834228516,158.19142150878906,30.024553298950195
2016-01-26,107.29000091552734,84.98680114746094,160.34963989257812,30.6036434173584
2016-01-27,107.69000244140625,85.04954528808594,158.60452270507812,30.4570369720459
2016-01-28,106.54000091552734,85.15943908691406,159.43072509765625,30.65495491027832
2016-01-29,106.94999694824219,85.61454010009766,163.31727600097656,31.263362884521484
2016-02-01,108.05000305175781,85.41730499267578,163.25816345214844,31.13142204284668
2016-02-02,108.08999633789062,86.0223388671875,160.31594848632812,30.420394897460938
2016-02-03,109.25,85.92804718017578,161.2770538330078,30.808889389038086
2016-02-04,110.56999969482422,86.13236999511719,161.52999877929688,30.955493927001953
2016-02-05,112.31999969482422,86.24239349365234,158.45281982421875,30.53767204284668
2016-02-08,113.83000183105469,86.88676452636719,156.31985473632812,29.995237350463867
2016-02-09,113.58000183105469,86.90245819091797,156.32827758789062,29.584741592407227
2016-02-10,114.45999908447266,87.16177368164062,156.19342041015625,29.57740592956543
2016-02-11,119.05999755859375,87.56259155273438,154.16162109375,29.122941970825195
2016-02-12,118.36000061035156,86.89462280273438,157.33993530273438,29.606739044189453
2016-02-16,114.7699966430664,86.63529205322266,159.99562072753906,30.22246551513672
2016-02-17,115.4800033569336,86.42313385009766,162.6090545654297,30.808889389038086
2016-02-18,118.29000091552734,86.82389068603516,161.94302368164062,30.67694664001465
2016-02-19,117.58000183105469,86.82389068603516,161.86715698242188,30.566993713378906
2016-02-22,115.48999786376953,86.7374496459961,164.21087646484375,30.911500930786133
2016-02-23,117.22000122070312,86.91033172607422,162.13693237304688,30.449703216552734
2016-02-24,117.61000061035156,86.91033172607422,162.87884521484375,30.376405715942383
2016-02-25,117.91999816894531,87.16960906982422,164.8516082763672,30.69159698486328
2016-02-26,117.11000061035156,86.74531555175781,164.47215270996094,30.6036434173584
2016-02-29,118.63999938964844,86.88676452636719,163.18234252929688,30.493684768676758
2016-03-01,117.7699966430664,86.20767974853516,167.01828002929688,31.358659744262695
2016-03-02,118.68000030517578,86.05812072753906,167.76858520507812,31.659196853637695
2016-03-03,120.7300033569336,86.160400390625,168.4261932373047,31.996387481689453
2016-03-04,120.54000091552734,85.86929321289062,168.97415161132812,32.33356857299805
2016-03-07,121.13999938964844,85.69615936279297,169.1090850830078,32.28959274291992
2016-03-08,120.58000183105469,86.19187927246094,167.2627716064453,31.84245491027832
2016-03-09,119.58000183105469,85.8535385131836,168.08892822265625,32.0696907043457
2016-03-10,121.5,85.54660034179688,168.2238006591797,32.01104736328125
2016-03-11,119.41000366210938,85.30267333984375,170.93849182128906,32.83203887939453
2016-03-14,117.87000274658203,85.36563873291016,170.71926879882812,32.65610885620117
2016-03-15,117.95999908447266,85.3498764038086,170.44102478027344,32.2979736328125
2016-03-16,120.58999633789062,85.79842376708984,171.42742919921875,32.73920440673828
2016-03-17,120.12999725341797,85.89287567138672,172.5150146484375,33.09218215942383
2016-03-18,119.80000305175781,86.04235076904297,173.1929168701172,33.04070281982422
2016-03-21,118.95999908447266,85.79842376708984,173.4386444091797,33.077484130859375
2016-03-22,119.30999755859375,85.61744689941406,173.34547424316406,33.01129913330078
2016-03-23,116.61000061035156,86.01091003417969,172.20144653320312,32.58477020263672
2016-03-24,116.33000183105469,85.9243392944336,172.12515258789062,32.40828323364258
2016-03-28,116.5999984741211,86.05027770996094,172.2269287109375,32.62154006958008
2016-03-29,118.76000213623047,86.63253784179688,173.82000732421875,32.95981979370117
2016-03-30,117.0999984741211,86.51453399658203,174.5825958251953,33.29074478149414
2016-03-31,117.63999938964844,86.82929229736328,174.1589813232422,33.03335952758789
2016-04-01,116.93000030517578,86.80406188964844,175.3452911376953,32.70243453979492
2016-04-04,116.1500015258789,86.90655517578125,174.77757263183594,32.56270980834961
2016-04-05,117.66000366210938,87.25330352783203,173.03192138671875,31.9964599609375
